panel,analysis,route,budget,direction,threshold,participants,count,proportion,repeat,method,participant_macro_mae_seconds,gain_vs_video_mean_seconds,gain_vs_video_mean_ci95_low,gain_vs_video_mean_ci95_high,partition_sha256
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.045,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.05,24,8,0.3333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.05,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.055,24,6,0.25,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.055,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.06,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.06,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.065,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.065,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.07,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.07,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.075,24,4,0.16666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.075,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.08,24,3,0.125,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.08,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.085,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.085,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.09,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.09,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.095,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.095,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.1,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.1,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.105,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.105,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.11,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.11,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.115,24,2,0.08333333333333333,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.115,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.12,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.12,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.125,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.125,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.13,24,1,0.041666666666666664,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.13,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.135,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.135,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.14,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.14,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.145,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.145,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.15,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.15,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.155,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.155,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.16,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.16,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.165,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.165,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.17,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.17,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.17500000000000002,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.17500000000000002,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.18,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.18,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.185,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.185,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.19,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.19,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.195,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.195,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,2,meets_gain_threshold,0.2,24,0,0.0,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,2,exceeds_degradation_threshold,0.2,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.0,24,17,0.7083333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.0,24,7,0.2916666666666667,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.005,24,16,0.6666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.005,24,6,0.25,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.01,24,16,0.6666666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.01,24,5,0.20833333333333334,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.015,24,15,0.625,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.015,24,5,0.20833333333333334,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.02,24,13,0.5416666666666666,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.02,24,4,0.16666666666666666,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.025,24,12,0.5,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.025,24,3,0.125,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.03,24,12,0.5,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.03,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.035,24,12,0.5,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.035,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.04,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.04,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.045,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.045,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.05,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.05,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.055,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.055,24,2,0.08333333333333333,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.06,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.06,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.065,24,10,0.4166666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.065,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.07,24,9,0.375,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.07,24,1,0.041666666666666664,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.075,24,9,0.375,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.075,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.08,24,9,0.375,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.08,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.085,24,7,0.2916666666666667,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.085,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.09,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.09,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.095,24,5,0.20833333333333334,,,,,,,
C,signed_calibration_vs_video_only,behavioral_calibration,4,exceeds_degradation_threshold,0.095,24,0,0.0,,,,,,,
B,signed_calibration_vs_video_only,behavioral_calibration,4,meets_gain_threshold,0.1,24,5,0.20833333333333334,,,,,,,
